Address,C.Ostan,Tedad.a,Gender,Age,Savad,InEdu,Edu,Faaliat,T.shaghel,T.M.S,T.O,S.Z,N.S,Masleh,oto,motor,do,radio,zabt,TV.S,TV.r,DVD,Pc,mobile,freeizer,yakhchal,yakhchal.f,gaz,jaro.b,m.lebas,charkh.kh,panke,cooler.a,cooler.g,m.zarf,microfer,ab.l,bargh,gaz.l,tel,internet,hamam,ashpazkhane,cooler.a.s,broodat.m,hararat.m,package,cooler.g.s,fazelab,sookht.p,sookht.g,sookht.ab,H_Khorakivadokhani,H_Noshidani,H_Pushak,H_Maskan,H_mobleman,H_behdasht,H_Hamlonaghl,H_Ertebatat,H_Tafrihat,H_Ghazayeamade,H_kalavakhadamat,D_Mozd,D_Azad,D_Motefaraghe,D_Yarane
11302159320,13,4,1,41,1,2,1,1,2,3,4,130,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,4,14,24,31644000,NA,650000,8309500,NA,260000,1.20E+07,1500000,5.00E+05,NA,690000,3.96E+08,NA,21600000,21840000
11302159323,13,4,1,50,2,NA,NA,1,1,1,4,120,3,1,1,1,1,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,14844050,9720000,3365000,8.00E+06,415000,1130000,1020000,360000,360000,NA,6.00E+05,NA,3.20E+07,216800000,27300000
11302159407,13,3,1,43,1,2,2,1,1,1,4,85,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,1,1,1,1,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,1,1,NA,NA,1,NA,1,4,14,24,5751100,1380000,60000,5209000,430000,380000,3250000,1.00E+06,NA,NA,540000,3.30E+08,NA,2200000,21840000
11302159408,13,3,1,34,1,1,7,1,1,1,4,75,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,1,4,14,24,4495900,NA,3500000,5720000,1470000,4.00E+05,1640000,450000,350000,640000,880000,3.89E+08,NA,8.00E+06,16380000
11302159414,13,4,1,38,1,2,4,1,1,1,4,75,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,1,NA,NA,4,14,24,4726000,NA,150000,7150000,610000,85000,5100000,3.00E+05,170000,NA,530000,2.23E+08,NA,35200000,21840000
11302159418,13,4,1,40,1,2,2,1,1,3,4,80,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,1,NA,1,4,14,24,2414200,2500000,NA,6150000,595000,4200000,1500000,3.00E+05,NA,NA,1020000,1.33E+08,NA,8.00E+06,21840000
11302159420,13,4,1,50,2,NA,NA,1,2,1,4,76,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,3,15,23,16172900,NA,11800000,4450000,1045000,5.00E+05,3200000,150000,3.00E+05,NA,1725000,1.50E+08,3.03E+08,1200000,21840000
11302159423,13,3,2,46,1,2,2,5,1,3,4,83,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,1,4,14,24,4682600,NA,NA,4600000,11210000,1500000,5.00E+05,3.00E+05,NA,NA,1425000,1.20E+08,NA,9600000,21840000
11302159507,13,5,1,45,1,2,2,1,1,1,4,128,3,1,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1,1,NA,1,NA,NA,NA,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,4,14,24,10607600,NA,2850000,9400000,1550000,NA,850000,880000,1190000,6.00E+05,5.00E+05,NA,290220000,5.40E+07,27300000
11302159511,13,3,2,75,2,NA,NA,3,NA,1,4,110,3,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4,14,24,9630940,NA,NA,6800000,820000,463000,NA,1.00E+05,NA,150000,950000,NA,NA,236660000,16380000
